,全氮(%),全磷(%),全钾(%),group,source_type,name
155,2.3195,1.637,1.4903,60,single,60-15
156,2.3741,0.2112,2.1472,61,single,61-9
157,0.4155,0.1711,1.8146,61,single,61-15
158,1.8607,0.224,1.3127,61,single,61-5
52,2.3789,0.216434417164344,1.57979429329794,61,complex,61
53,2.6242,0.143776824034335,1.42903126916002,62,complex,62
159,2.5479,0.1447,1.2384,62,single,62-4
161,2.7153,0.1456,1.7402,62,single,62-13
160,2.0367,0.1178,0.9225,62,single,62-10
164,2.5368,0.1732,1.5716,63,single,63-20
163,2.7395,0.1671,1.0521,63,single,63-15
162,2.0378,0.1427,1.6852,63,single,63-5
54,2.6696,0.165823699421965,1.37096579961464,63,complex,63
55,2.1336,0.179338299737073,1.7840162138475,64,complex,64
167,1.6477,0.1498,1.268,64,single,64-14
166,2.2465,0.1545,1.1834,64,single,64-11
165,1.9475,0.1429,0.7565,64,single,64-7
56,1.8698,0.118135220893337,2.06059311691482,65,complex,65
168,2.0683,0.116,2.2587,65,single,65-6
169,1.4846,0.112,2.2312,65,single,65-11
170,1.9422,0.1009,2.1912,65,single,65-14
171,2.1521,0.1319,0.8711,66,single,66-1
172,2.1539,0.157,0.9944,66,single,66-7
173,2.7998,0.1712,1.415,66,single,66-8
57,2.4036,0.149043627767032,0.962228669675478,66,complex,66
176,2.5385,0.1828,1.5513,67,single,67-17
175,2.0355,0.1391,1.2649,67,single,67-15
174,2.1248,0.1517,1.1482,67,single,67-7
58,2.2403,0.167820925055652,1.69236952757853,67,complex,67
178,2.5048,0.1317,0.9872,68,single,68-8
177,2.1664,0.1262,0.757,68,single,68-6
59,2.4846,0.155243690165361,0.978513925152306,68,complex,68
179,1.9886,0.1651,1.5147,68,single,68-14
180,2.5459,0.1368,1.5673,69,single,69-5
182,2.459,,,69,single,69-12
60,2.6492,0.136880165289256,1.37971332644628,69,complex,69
181,2.568,0.1331,1.3751,69,single,69-9
183,2.7991,0.1394,2.0284,70,single,70-9
184,2.4988,0.137,1.1094,70,single,70-13
185,2.2315,0.1356,1.0923,70,single,70-16
61,2.6953,0.14617673992674,1.53210851648352,70,complex,70
187,2.3007,0.1142,1.4844,71,single,71-11
188,2.5613,0.1202,1.4262,71,single,71-17
186,2.4371,0.1307,0.9516,71,single,71-8
62,2.6516,0.125715648854962,1.44137643129771,71,complex,71
189,2.3814,0.1741,2.7818,72,single,72-9
190,2.2669,0.1502,1.7646,72,single,72-12
191,2.1538,0.124,1.8918,72,single,72-18
63,2.2165,0.133773308191913,1.80017808506181,72,complex,72
64,2.1932,0.146703036053131,1.71780123339658,73,complex,73
193,2.6429,0.1838,2.8931,73,single,73-12
192,1.6761,0.1333,2.016,73,single,73-7
194,1.7985,0.1388,1.6902,73,single,73-15
195,1.997,0.1471,1.4714,74,single,74-6
196,2.1241,0.1499,2.1051,74,single,74-11
197,2.2297,0.1441,1.5977,74,single,74-14
65,2.6368,0.136711281070746,1.59172509029106,74,complex,74
198,2.8622,0.1594,1.8852,75,single,75-9
199,2.8492,0.1669,1.5774,75,single,75-10
66,2.1673,0.145047705588369,1.65657655611086,75,complex,75
200,2.9968,0.1842,1.6355,75,single,75-16
67,2.375,0.106324278438031,1.03825339558574,76,complex,76
201,2.7184,0.1246,1.4301,76,single,76-5
203,2.4194,0.1148,1.4255,76,single,76-21
202,2.2767,0.1216,0.8363,76,single,76-17
206,2.5628,0.1267,0.5666,77,single,77-19
205,2.3866,0.1277,0.6221,77,single,77-15
204,2.271,0.1286,0.422,77,single,77-9
68,2.4978,0.159648661133621,0.81081340075415,77,complex,77
209,2.1882,0.2102,1.9526,78,single,78-15
208,2.1921,0.2027,1.7123,78,single,78-12
69,2.0479,0.234089842833685,1.43502228477598,78,complex,78
207,2.2613,0.1676,1.7518,78,single,78-5
211,2.4273,0.2115,1.9472,79,single,79-8
212,2.2595,0.2297,1.602,79,single,79-14
70,2.3784,0.224048083963876,1.56639004149378,79,complex,79
210,2.2915,0.2567,1.0001,79,single,79-5
71,2.4357,0.207507595232531,1.78020565552699,80,complex,80
214,2.366,0.1888,2.4659,80,single,80-14
215,2.453,0.1751,2.0701,80,single,80-16
213,2.2388,0.1712,1.6596,80,single,80-8
72,2.1758,0.167759315206445,0.98036253776435,81,complex,81
216,2.1987,0.1434,1.0177,81,single,81-10
217,2.0299,0.1367,0.7663,81,single,81-12
218,2.3697,0.1508,1.2601,81,single,81-15
73,2.3771,0.181980554948656,1.50043696744593,82,complex,82
219,2.5116,0.1494,1.9733,82,single,82-17
220,2.5387,0.1448,1.836,82,single,82-14
221,2.1219,0.1421,1.6537,82,single,82-8
224,3.5767,0.2086,2.0,83,single,83-21
222,2.7196,0.1844,1.4098,83,single,83-7
223,2.695,0.1799,1.5085,83,single,83-13
74,2.6053,0.204355899830221,1.40439303904924,83,complex,83
225,2.658,0.1547,2.4343,84,single,84-10
226,3.5066,0.069,0.7943,84,single,84-18
227,2.7043,0.147,1.8078,84,single,84-24
75,2.5006,0.182216259419959,1.76238867321306,84,complex,84
228,2.7209,0.2002,1.5739,85,single,85-7
229,2.5156,0.1825,2.5228,85,single,85-12
230,2.4728,0.1883,1.9805,85,single,85-16
76,2.7369,0.220191637630662,2.03658536585366,85,complex,85
231,1.7043,0.1537,0.9456,86,single,86-8
232,2.1189,0.1673,1.4835,86,single,86-12
233,2.9179,0.1995,1.9191,86,single,86-17
77,2.3901,0.216753494282084,1.70711562897077,86,complex,86
78,1.9756,0.18526285046729,1.82651869158878,87,complex,87
234,2.4243,0.1998,1.7918,87,single,87-6
235,2.3043,0.1519,1.9606,87,single,87-12
236,1.8347,0.1699,1.8014,87,single,87-15
239,3.0629,0.1086,0.6874,88,single,88-14
238,2.1897,0.1561,1.3982,88,single,88-12
237,2.3649,0.1852,1.3781,88,single,88-7
79,2.2741,0.177945466786356,1.5524012567325,88,complex,88
