,序号,全氮(%),全磷(%),全钾(%),group,source_type
190,72-12,2.2669,0.1502,1.7646,72,single
191,72-18,2.1538,0.124,1.8918,72,single
63,72,2.2165,0.133773308191913,1.80017808506181,72,complex
64,73,2.1932,0.146703036053131,1.71780123339658,73,complex
193,73-12,2.6429,0.1838,2.8931,73,single
192,73-7,1.6761,0.1333,2.016,73,single
194,73-15,1.7985,0.1388,1.6902,73,single
195,74-6,1.997,0.1471,1.4714,74,single
196,74-11,2.1241,0.1499,2.1051,74,single
197,74-14,2.2297,0.1441,1.5977,74,single
65,74,2.6368,0.136711281070746,1.59172509029106,74,complex
198,75-9,2.8622,0.1594,1.8852,75,single
199,75-10,2.8492,0.1669,1.5774,75,single
66,75,2.1673,0.145047705588369,1.65657655611086,75,complex
200,75-16,2.9968,0.1842,1.6355,75,single
67,76,2.375,0.106324278438031,1.03825339558574,76,complex
201,76-5,2.7184,0.1246,1.4301,76,single
203,76-21,2.4194,0.1148,1.4255,76,single
202,76-17,2.2767,0.1216,0.8363,76,single
206,77-19,2.5628,0.1267,0.5666,77,single
205,77-15,2.3866,0.1277,0.6221,77,single
204,77-9,2.271,0.1286,0.422,77,single
68,77,2.4978,0.159648661133621,0.81081340075415,77,complex
209,78-15,2.1882,0.2102,1.9526,78,single
208,78-12,2.1921,0.2027,1.7123,78,single
69,78,2.0479,0.234089842833685,1.43502228477598,78,complex
207,78-5,2.2613,0.1676,1.7518,78,single
211,79-8,2.4273,0.2115,1.9472,79,single
212,79-14,2.2595,0.2297,1.602,79,single
70,79,2.3784,0.224048083963876,1.56639004149378,79,complex
210,79-5,2.2915,0.2567,1.0001,79,single
71,80,2.4357,0.207507595232531,1.78020565552699,80,complex
214,80-14,2.366,0.1888,2.4659,80,single
215,80-16,2.453,0.1751,2.0701,80,single
213,80-8,2.2388,0.1712,1.6596,80,single
72,81,2.1758,0.167759315206445,0.98036253776435,81,complex
216,81-10,2.1987,0.1434,1.0177,81,single
217,81-12,2.0299,0.1367,0.7663,81,single
218,81-15,2.3697,0.1508,1.2601,81,single
73,82,2.3771,0.181980554948656,1.50043696744593,82,complex
219,82-17,2.5116,0.1494,1.9733,82,single
220,82-14,2.5387,0.1448,1.836,82,single
221,82-8,2.1219,0.1421,1.6537,82,single
224,83-21,3.5767,0.2086,2,83,single
222,83-7,2.7196,0.1844,1.4098,83,single
223,83-13,2.695,0.1799,1.5085,83,single
74,83,2.6053,0.204355899830221,1.40439303904924,83,complex
225,84-10,2.658,0.1547,2.4343,84,single
226,84-18,3.5066,0.069,0.7943,84,single
227,84-24,2.7043,0.147,1.8078,84,single
75,84,2.5006,0.182216259419959,1.76238867321306,84,complex
228,85-7,2.7209,0.2002,1.5739,85,single
229,85-12,2.5156,0.1825,2.5228,85,single
230,85-16,2.4728,0.1883,1.9805,85,single
76,85,2.7369,0.220191637630662,2.03658536585366,85,complex
231,86-8,1.7043,0.1537,0.9456,86,single
232,86-12,2.1189,0.1673,1.4835,86,single
233,86-17,2.9179,0.1995,1.9191,86,single
77,86,2.3901,0.216753494282084,1.70711562897077,86,complex
78,87,1.9756,0.18526285046729,1.82651869158878,87,complex
234,87-6,2.4243,0.1998,1.7918,87,single
235,87-12,2.3043,0.1519,1.9606,87,single
236,87-15,1.8347,0.1699,1.8014,87,single
239,88-14,3.0629,0.1086,0.6874,88,single
238,88-12,2.1897,0.1561,1.3982,88,single
237,88-7,2.3649,0.1852,1.3781,88,single
79,88,2.2741,0.177945466786356,1.5524012567325,88,complex
